Number_of_Vehicles,Number_of_Casualties,Weather_Condition,Road_Surface,Light_Conditions,Accident_Severity
1,1,Fog,Dry,Daylight,1
4,3,Clear,Wet,Dark,2
2,2,Rain,Dry,Daylight,1
3,1,Clear,Wet,Dark,3
1,2,Fog,Dry,Daylight,2
3,1,Rain,Wet,Dark,1
2,3,Clear,Dry,Daylight,2
4,1,Fog,Wet,Dark,3
1,2,Clear,Dry,Daylight,1
4,1,Rain,Wet,Dark,3
3,1,Clear,Dry,Daylight,2
2,3,Rain,Wet,Dark,1
3,2,Fog,Dry,Daylight,3
1,1,Clear,Wet,Dark,1
2,1,Rain,Dry,Daylight,3
3,3,Fog,Wet,Dark,1
4,2,Clear,Dry,Daylight,2
1,1,Rain,Wet,Dark,3
2,3,Fog,Dry,Daylight,2
3,1,Clear,Wet,Dark,1
